date,commit,area,evidence
2026-07-16,f0a8770,bootstrap,"Next.js strict TypeScript Vitest Playwright"
2026-07-16,b254c8a,scene contracts,"versioned schema and domain validation"
2026-07-16,c5d805f,editor,"interactive workbench and geometry editing"
2026-07-16,e1cba00,audio,"persistent browser HRTF rendering"
2026-07-17,8287ef5,occlusion,"deterministic direct-path material model"
2026-07-17,72af03a,worker,"revisioned acoustic frames"
2026-07-17,38e5f75,portal,"portal-aware propagation"
2026-07-17,93b555a,reflections,"first-order image-source and room estimates"
2026-07-17,562ff04,reverb,"reflection taps and Schroeder renderer"
2026-07-17,fb6f170,audio tests,"production OfflineAudioContext validation"
2026-07-18,586f878,AI compiler,"validated GPT-5.6 scene compiler"
2026-07-18,827504b,AI explanation,"grounded deterministic snapshot explanation"
2026-07-18,71330be,provider,"explicit OpenRouter Luna compatibility path"
2026-07-18,dd6890b,transfer,"validated authoring JSON import/export"
2026-07-18,5ed6682,Hybrid 3D,"compatibility envelope and engine router"
2026-07-18,df9e697,3D reflections,"first-order 3D reflection solver"
2026-07-18,12bda12,materials,"six-band material foundations"
2026-07-18,d44c56a,3D viewport,"orthographic direct manipulation"
2026-07-18,0684b9c,3D audio,"hybrid occlusion and portal rendering"
2026-07-18,ef6e005,3D authoring,"editable finite partition and Portal"
2026-07-19,2adeb50,workbench,"modelling-style contextual controls"
2026-07-19,d0cc677,unified projects,"versioned 2.5D and 3D authoring"
2026-07-19,97f3567,persistence,"independent cached projects and history"
2026-07-19,396023f,hardening,"complete authoring limits and failure handling"
2026-07-19,3db6018,mode-aware AI,"preserve Hybrid generation coordinates"
2026-07-19,cb9e0a4,camera math,"persistent pan zoom and framing contracts"
2026-07-19,b6ce385,2.5D navigation,"pan zoom Home and Frame All"
2026-07-19,afd19ad,3D navigation,"pan zoom Home and Frame All"
